n,escenario,objetivo,algoritmo,repeticion,posicion,comparaciones,tiempo_ns
10000,inicio,17850.0,Lineal,5,0,1,300
10000,inicio,17850.0,Lineal,6,0,1,300
10000,inicio,17850.0,Lineal,7,0,1,300
10000,inicio,17850.0,Lineal,8,0,1,300
10000,inicio,17850.0,Lineal,9,0,1,300
10000,inicio,17850.0,Lineal,10,0,1,200
10000,inicio,17850.0,Lineal,11,0,1,300
10000,inicio,17850.0,Lineal,12,0,1,200
10000,inicio,17850.0,Lineal,13,0,1,200
10000,inicio,17850.0,Lineal,14,0,1,300
10000,inicio,17850.0,Lineal,15,0,1,300
10000,inicio,17850.0,Lineal,16,0,1,200
10000,inicio,17850.0,Lineal,17,0,1,300
10000,inicio,17850.0,Lineal,18,0,1,300
10000,inicio,17850.0,Lineal,19,0,1,200
10000,inicio,17850.0,Lineal,20,0,1,200
10000,inicio,17850.0,Lineal,21,0,1,300
10000,inicio,17850.0,Lineal,22,0,1,300
10000,inicio,17850.0,Lineal,23,0,1,300
10000,inicio,17850.0,Lineal,24,0,1,200
10000,inicio,17850.0,Lineal,25,0,1,300
10000,inicio,17850.0,Lineal,26,0,1,300
10000,inicio,17850.0,Lineal,27,0,1,300
10000,inicio,17850.0,Lineal,28,0,1,200
10000,inicio,17850.0,Lineal,29,0,1,300
10000,inicio,17850.0,Lineal,30,0,1,200
10000,inicio,17850.0,Binaria,1,8749,3,2300
10000,inicio,17850.0,Binaria,2,8749,3,700
10000,inicio,17850.0,Binaria,3,8749,3,500
10000,inicio,17850.0,Binaria,4,8749,3,600
10000,inicio,17850.0,Binaria,5,8749,3,400
10000,inicio,17850.0,Binaria,6,8749,3,500
10000,inicio,17850.0,Binaria,7,8749,3,500
10000,inicio,17850.0,Binaria,8,8749,3,400
10000,inicio,17850.0,Binaria,9,8749,3,400
10000,inicio,17850.0,Binaria,10,8749,3,500
10000,inicio,17850.0,Binaria,11,8749,3,500
10000,inicio,17850.0,Binaria,12,8749,3,500
10000,inicio,17850.0,Binaria,13,8749,3,500
10000,inicio,17850.0,Binaria,14,8749,3,400
10000,inicio,17850.0,Binaria,15,8749,3,500
10000,inicio,17850.0,Binaria,16,8749,3,400
10000,inicio,17850.0,Binaria,17,8749,3,500
10000,inicio,17850.0,Binaria,18,8749,3,500
10000,inicio,17850.0,Binaria,19,8749,3,500
10000,inicio,17850.0,Binaria,20,8749,3,500
10000,inicio,17850.0,Binaria,21,8749,3,500
